DrawDate,WB1,WB2,WB3,WB4,WB5,PB,PP,estimated_jackpot,tickets_sold
2017-03-15,30,16,41,48,53,16,3.0,$123 Million,14925612
2017-03-11,57,41,50,26,1,11,2.0,$104 Million,16275107
2017-03-08,42,23,59,46,33,4,2.0,$85 Million,13468239
2017-03-04,2,22,63,19,18,19,3.0,$68 Million,14434327
2017-03-01,16,10,52,40,55,17,10.0,$53 Million,12506202
2017-02-25,6,62,32,47,65,19,2.0,$40 Million,13888704
2017-02-22,52,10,61,28,13,2,2.0,$403 Million,74952749
2017-02-18,9,3,33,7,31,20,3.0,$349 Million,41665696
2017-02-15,33,5,42,38,28,19,2.0,$310 Million,33754629
2017-02-11,37,64,17,9,5,2,2.0,$285 Million,28146160
2017-02-08,49,20,42,14,66,5,2.0,$255 Million,24958367
2017-02-04,52,17,16,13,6,25,3.0,$229 Million,24638291
2017-02-01,9,60,64,43,57,10,2.0,$206 Million,20669972
2017-01-28,39,12,49,69,20,17,2.0,$187 Million,18821356
2017-01-25,18,62,66,68,28,22,2.0,$170 Million,15589230
2017-01-21,45,25,23,67,52,2,2.0,$153 Million,16557567
2017-01-18,41,9,58,40,53,12,2.0,$135 Million,14154095
2017-01-14,55,69,23,64,59,13,5.0,$121 Million,15910411
2017-01-11,1,16,13,43,3,24,2.0,$106 Million,13180846
2017-01-07,37,63,12,24,3,10,2.0,$94 Million,13184353
2017-01-04,17,16,42,41,29,4,3.0,$80 Million,11933816
2016-03-16,46,50,12,13,10,21,3.0,$70 Million,12819813
2016-03-12,28,11,50,57,62,23,2.0,$60 Million,13820128
2016-03-09,32,34,14,23,68,3,3.0,$50 Million,12481221
2016-03-05,3,34,27,59,69,19,2.0,$40 Million,14602679
2016-03-02,62,52,13,12,44,6,2.0,$292 Million,25769222
2016-02-27,22,11,53,21,10,18,3.0,$266 Million,25103142
2016-02-24,67,21,65,31,64,5,3.0,$236 Million,22622798
2016-02-20,54,12,11,16,15,25,5.0,$212 Million,22865693
2016-02-17,29,27,7,40,17,25,2.0,$189 Million,18875392
2016-02-13,7,15,36,18,19,20,2.0,$176 Million,20039775
2016-02-10,2,62,40,50,3,5,2.0,$157 Million,18273810
2016-02-06,13,4,36,31,52,8,3.0,$136 Million,19441320
2016-02-03,26,60,67,31,28,23,3.0,$112 Million,17756022
2016-01-30,16,5,12,31,43,18,4.0,$96 Million,17969814
2016-01-27,40,52,3,67,12,21,2.0,$75 Million,16016673
2016-01-23,32,22,40,69,34,19,4.0,$60 Million,16718548
2016-01-20,44,5,39,69,47,24,5.0,$50 Million,17922712
2016-01-16,61,52,51,64,3,6,2.0,$40 Million,24242156
2016-01-13,8,27,34,4,19,10,2.0,$1.50 Billion,635103137
2016-01-09,32,16,19,57,34,13,3.0,$900 Million,440321172
