,DrawDate,WB1,WB2,WB3,WB4,WB5,PB,PP
0,03/15/2017,30,16,41,48,53,16,3.0
1,03/11/2017,57,41,50,26,1,11,2.0
2,03/08/2017,42,23,59,46,33,4,2.0
3,03/04/2017,2,22,63,19,18,19,3.0
4,03/01/2017,16,10,52,40,55,17,10.0
5,02/25/2017,6,62,32,47,65,19,2.0
6,02/22/2017,52,10,61,28,13,2,2.0
7,02/18/2017,9,3,33,7,31,20,3.0
8,02/15/2017,33,5,42,38,28,19,2.0
9,02/11/2017,37,64,17,9,5,2,2.0
10,02/08/2017,49,20,42,14,66,5,2.0
11,02/04/2017,52,17,16,13,6,25,3.0
12,02/01/2017,9,60,64,43,57,10,2.0
13,01/28/2017,39,12,49,69,20,17,2.0
14,01/25/2017,18,62,66,68,28,22,2.0
15,01/21/2017,45,25,23,67,52,2,2.0
16,01/18/2017,41,9,58,40,53,12,2.0
17,01/14/2017,55,69,23,64,59,13,5.0
18,01/11/2017,1,16,13,43,3,24,2.0
19,01/07/2017,37,63,12,24,3,10,2.0
20,01/04/2017,17,16,42,41,29,4,3.0
21,12/31/2016,1,28,3,67,57,9,2.0
22,12/28/2016,30,23,44,58,16,4,2.0
23,12/24/2016,38,52,42,51,28,21,2.0
24,12/21/2016,25,68,40,54,33,3,5.0
25,12/17/2016,16,40,8,48,1,10,2.0
26,12/14/2016,39,18,66,37,26,15,3.0
27,12/10/2016,32,21,12,44,66,15,2.0
28,12/07/2016,49,64,48,41,53,20,2.0
29,12/03/2016,27,26,33,8,10,22,2.0
30,11/30/2016,3,45,25,14,18,7,2.0
31,11/26/2016,21,17,37,44,19,16,2.0
32,11/23/2016,7,61,41,47,32,3,2.0
33,11/19/2016,24,61,43,16,28,21,2.0
34,11/16/2016,28,61,63,41,65,7,2.0
35,11/12/2016,20,8,27,52,17,24,2.0
36,11/09/2016,28,31,54,25,1,2,2.0
37,11/05/2016,31,50,69,21,51,8,3.0
38,11/02/2016,18,54,61,13,37,5,2.0
39,10/29/2016,42,48,20,21,19,23,3.0
40,10/26/2016,48,56,2,16,3,24,2.0
41,10/22/2016,1,55,33,28,56,22,2.0
42,10/19/2016,43,63,16,38,10,23,2.0
43,10/15/2016,64,49,57,23,67,20,2.0
44,10/12/2016,34,44,30,16,37,16,2.0
45,10/08/2016,3,64,68,61,54,9,2.0
46,10/05/2016,60,29,18,27,8,15,2.0
47,10/01/2016,12,64,50,61,2,1,2.0
48,09/28/2016,30,53,62,38,52,1,3.0
49,09/24/2016,15,7,29,41,20,22,2.0
50,09/21/2016,63,67,1,69,28,17,4.0
51,09/17/2016,51,19,9,62,55,14,4.0
52,09/14/2016,10,31,23,28,11,14,2.0
53,09/10/2016,3,17,49,68,55,8,2.0
54,09/07/2016,23,55,33,22,29,21,2.0
55,09/03/2016,39,59,7,67,50,25,3.0
56,08/31/2016,10,56,24,61,5,12,2.0
57,08/27/2016,48,32,63,4,49,20,2.0
58,08/24/2016,25,11,9,65,64,16,3.0
59,08/20/2016,68,3,21,6,60,24,2.0
60,08/17/2016,44,49,33,50,52,8,3.0
61,08/13/2016,44,38,64,69,60,6,2.0
62,08/10/2016,64,56,61,23,67,12,5.0
63,08/06/2016,52,33,47,36,20,12,3.0
64,08/03/2016,66,27,11,9,67,2,3.0
65,07/30/2016,32,21,17,23,11,5,2.0
66,07/27/2016,10,47,68,65,50,24,2.0
67,07/23/2016,39,5,35,7,23,11,2.0
68,07/20/2016,6,58,66,25,35,5,2.0
69,07/16/2016,11,50,40,17,62,26,2.0
70,07/13/2016,57,15,29,3,54,10,3.0
71,07/09/2016,32,28,10,64,61,12,3.0
72,07/06/2016,66,57,2,31,24,18,3.0
73,07/02/2016,63,39,59,34,10,4,2.0
74,06/29/2016,29,37,23,64,60,6,2.0
75,06/25/2016,36,3,56,69,27,25,2.0
76,06/22/2016,14,42,43,52,40,17,3.0
77,06/18/2016,53,2,23,63,41,11,2.0
78,06/15/2016,33,4,24,31,22,10,2.0
79,06/11/2016,36,58,27,41,20,7,2.0
80,06/08/2016,37,69,12,25,60,20,3.0
81,06/04/2016,20,16,43,64,22,17,2.0
82,06/01/2016,40,69,33,23,30,12,5.0
83,05/28/2016,6,34,33,59,58,12,2.0
84,05/25/2016,64,24,59,41,11,15,3.0
85,05/21/2016,9,32,5,7,23,26,4.0
86,05/18/2016,25,67,39,23,54,11,3.0
87,05/14/2016,64,27,65,13,47,9,3.0
88,05/11/2016,69,32,52,66,20,23,3.0
89,05/07/2016,25,66,44,5,26,9,2.0
90,05/04/2016,47,69,30,66,57,3,3.0
91,04/30/2016,32,16,3,34,12,14,3.0
92,04/27/2016,25,39,64,2,33,17,2.0
93,04/23/2016,46,62,59,35,19,13,5.0
94,04/20/2016,62,30,12,25,52,8,3.0
95,04/16/2016,32,3,25,51,18,3,2.0
96,04/13/2016,30,35,38,33,64,22,3.0
97,04/09/2016,14,23,41,61,22,9,3.0
98,04/06/2016,65,28,49,60,4,25,2.0
99,04/02/2016,9,61,28,40,30,3,2.0
100,03/30/2016,55,24,63,53,44,19,2.0
101,03/26/2016,23,42,68,52,11,6,3.0
102,03/23/2016,22,15,49,5,8,25,3.0
103,03/19/2016,11,60,23,54,43,3,3.0
104,03/16/2016,46,50,12,13,10,21,3.0
105,03/12/2016,28,11,50,57,62,23,2.0
106,03/09/2016,32,34,14,23,68,3,3.0
107,03/05/2016,3,34,27,59,69,19,2.0
108,03/02/2016,62,52,13,12,44,6,2.0
109,02/27/2016,22,11,53,21,10,18,3.0
110,02/24/2016,67,21,65,31,64,5,3.0
111,02/20/2016,54,12,11,16,15,25,5.0
112,02/17/2016,29,27,7,40,17,25,2.0
113,02/13/2016,7,15,36,18,19,20,2.0
114,02/10/2016,2,62,40,50,3,5,2.0
115,02/06/2016,13,4,36,31,52,8,3.0
116,02/03/2016,26,60,67,31,28,23,3.0
117,01/30/2016,16,5,12,31,43,18,4.0
118,01/27/2016,40,52,3,67,12,21,2.0
119,01/23/2016,32,22,40,69,34,19,4.0
120,01/20/2016,44,5,39,69,47,24,5.0
121,01/16/2016,61,52,51,64,3,6,2.0
122,01/13/2016,8,27,34,4,19,10,2.0
123,01/09/2016,32,16,19,57,34,13,3.0
124,01/06/2016,47,2,63,62,11,17,3.0
125,01/02/2016,42,15,6,5,29,10,2.0
126,12/30/2015,12,61,54,38,36,22,3.0
127,12/26/2015,65,40,44,59,27,20,2.0
128,12/23/2015,67,16,63,38,55,25,4.0
129,12/19/2015,30,68,59,41,28,10,2.0
130,12/16/2015,9,42,10,55,32,6,2.0
131,12/12/2015,62,2,30,19,14,22,2.0
132,12/09/2015,16,46,10,56,7,1,2.0
133,12/05/2015,47,33,68,27,13,13,2.0
134,12/02/2015,14,18,19,64,32,9,2.0
135,11/28/2015,47,2,66,67,6,2,3.0
136,11/25/2015,53,16,69,58,29,21,2.0
137,11/21/2015,37,57,47,50,52,21,3.0
138,11/18/2015,40,17,46,69,41,6,2.0
139,11/14/2015,66,37,22,14,45,5,3.0
140,11/11/2015,26,4,32,55,64,18,3.0
141,11/07/2015,50,53,7,16,25,15,2.0
142,11/04/2015,12,2,17,20,65,17,4.0
143,10/31/2015,9,47,20,25,68,7,2.0
144,10/28/2015,56,62,54,63,4,10,2.0
145,10/24/2015,20,31,56,64,60,2,3.0
146,10/21/2015,57,32,30,42,56,11,4.0
147,10/17/2015,57,62,69,49,48,19,3.0
148,10/14/2015,20,15,31,40,29,1,2.0
149,10/10/2015,27,68,12,43,29,1,2.0
150,10/07/2015,52,40,48,18,30,9,3.0
151,10/03/2015,33,6,46,44,26,4,2.0
152,09/30/2015,40,59,21,39,55,17,3.0
153,09/26/2015,23,57,42,31,50,5,3.0
154,09/23/2015,8,29,51,58,41,5,2.0
155,09/19/2015,12,43,17,26,48,24,2.0
156,09/16/2015,7,5,39,24,31,7,3.0
157,09/12/2015,35,3,16,2,13,27,3.0
158,09/09/2015,50,44,45,51,47,8,2.0
159,09/05/2015,29,10,18,16,45,19,2.0
160,09/02/2015,17,46,22,30,56,16,3.0
161,08/29/2015,25,18,29,21,28,16,2.0
162,08/26/2015,22,56,2,45,32,12,5.0
163,08/22/2015,12,14,21,4,55,7,4.0
164,08/19/2015,6,43,48,50,8,7,2.0
165,08/15/2015,3,17,13,52,42,24,4.0
166,08/12/2015,29,38,8,13,52,28,2.0
167,08/08/2015,34,48,54,52,9,15,4.0
168,08/05/2015,42,14,9,16,11,19,2.0
169,08/01/2015,13,7,49,24,57,15,3.0
170,07/29/2015,4,52,22,27,28,35,3.0
171,07/25/2015,27,44,41,29,34,2,3.0
172,07/22/2015,31,12,57,44,43,11,2.0
173,07/18/2015,39,6,37,45,55,33,3.0
174,07/15/2015,45,34,13,50,16,11,2.0
175,07/11/2015,46,39,52,11,54,3,2.0
176,07/08/2015,30,27,25,15,4,18,3.0
177,07/04/2015,24,18,6,3,14,21,3.0
178,07/01/2015,24,41,31,26,7,25,2.0
179,06/27/2015,35,18,46,49,28,27,5.0
180,06/24/2015,5,10,3,22,32,7,4.0
181,06/20/2015,20,16,10,57,9,15,2.0
182,06/17/2015,22,20,21,54,41,7,3.0
183,06/13/2015,41,29,52,54,48,29,2.0
184,06/10/2015,49,32,31,53,48,25,2.0
185,06/06/2015,18,43,13,8,27,15,4.0
186,06/03/2015,6,40,37,13,8,11,2.0
187,05/30/2015,57,25,8,56,9,22,2.0
188,05/27/2015,8,15,59,34,53,23,2.0
189,05/23/2015,31,9,43,17,15,16,4.0
190,05/20/2015,12,1,44,28,35,25,3.0
191,05/16/2015,48,24,38,52,29,32,2.0
192,05/13/2015,31,29,1,47,25,7,3.0
193,05/09/2015,58,4,17,35,15,17,3.0
194,05/06/2015,24,41,39,23,27,30,5.0
195,05/02/2015,2,31,6,11,30,33,3.0
196,04/29/2015,26,1,38,34,51,6,3.0
197,04/25/2015,45,21,35,33,38,12,2.0
198,04/22/2015,25,10,14,39,53,18,2.0
199,04/18/2015,31,22,13,23,29,17,3.0
200,04/15/2015,1,21,29,16,40,30,3.0
201,04/11/2015,58,1,32,42,12,12,2.0
202,04/08/2015,1,19,45,58,46,29,2.0
203,04/04/2015,41,33,39,54,40,28,3.0
204,04/01/2015,44,39,30,33,2,1,3.0
205,03/28/2015,38,2,12,4,6,17,3.0
206,03/25/2015,54,23,19,7,50,14,2.0
207,03/21/2015,30,38,16,11,42,7,4.0
208,03/18/2015,30,47,33,25,14,8,2.0
209,03/14/2015,46,47,8,14,39,18,2.0
210,03/11/2015,24,44,31,11,40,27,2.0
211,03/07/2015,50,42,36,38,34,33,4.0
212,03/04/2015,8,35,15,12,50,32,2.0
213,02/28/2015,25,28,11,17,46,12,2.0
214,02/25/2015,39,17,21,32,19,8,3.0
215,02/21/2015,18,51,14,34,10,26,2.0
216,02/18/2015,29,1,49,9,32,22,2.0
217,02/14/2015,44,45,1,24,51,28,2.0
218,02/11/2015,25,11,54,13,39,19,3.0
219,02/07/2015,34,58,5,21,10,33,5.0
220,02/04/2015,51,52,36,24,56,22,2.0
221,01/31/2015,16,5,50,11,26,34,2.0
222,01/28/2015,49,24,12,36,35,1,5.0
223,01/24/2015,19,16,20,33,29,10,2.0
224,01/21/2015,57,12,28,15,11,23,4.0
225,01/17/2015,15,27,23,36,16,9,2.0
226,01/14/2015,10,4,53,2,41,22,5.0
227,01/10/2015,19,9,29,2,28,19,5.0
228,01/07/2015,47,49,59,15,14,10,2.0
229,01/03/2015,4,43,46,55,18,25,3.0
230,12/31/2014,40,27,17,53,37,35,2.0
231,12/27/2014,36,14,10,11,7,15,2.0
232,12/24/2014,46,11,12,47,50,22,4.0
233,12/20/2014,19,15,56,31,14,5,5.0
234,12/17/2014,47,31,48,38,22,15,3.0
235,12/13/2014,5,13,43,55,28,33,3.0
236,12/10/2014,48,34,55,44,54,10,2.0
237,12/06/2014,43,22,49,15,12,14,2.0
238,12/03/2014,54,30,32,46,25,26,3.0
239,11/29/2014,13,30,24,42,48,27,2.0
240,11/26/2014,46,17,22,16,54,35,5.0
241,11/22/2014,54,53,23,57,49,35,2.0
242,11/19/2014,38,6,36,48,51,17,2.0
243,11/15/2014,35,16,33,51,13,28,2.0
244,11/12/2014,55,37,39,52,51,11,3.0
245,11/08/2014,9,33,19,38,54,15,3.0
246,11/05/2014,19,2,11,21,42,34,3.0
247,11/01/2014,1,38,25,13,3,17,2.0
248,10/29/2014,48,28,59,25,57,16,3.0
249,10/25/2014,54,57,51,6,10,12,2.0
250,10/22/2014,40,42,30,29,50,16,2.0
251,10/18/2014,36,20,54,27,26,19,2.0
252,10/15/2014,5,7,28,27,19,20,2.0
253,10/11/2014,37,39,38,19,10,28,2.0
254,10/08/2014,46,50,16,31,5,18,3.0
255,10/04/2014,13,33,18,24,25,31,2.0
256,10/01/2014,20,1,45,18,4,7,2.0
257,09/27/2014,54,11,52,35,2,13,3.0
258,09/24/2014,7,14,24,41,21,26,4.0
